"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad Set Name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking",Frequency,"Amount spent (MXN)",Ends,"Estimated ad recall lift rate","Link clicks","Result rate","Unique link clicks","CTR (all)","Unique CTR (link click-through rate)"
2022-05-01,2022-05-01,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-01,2022-05-01,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-05-01,2022-05-01,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-30,2022-04-30,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-30,2022-04-30,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-30,2022-04-30,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-30,2022-04-30,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-30,2022-04-30,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-30,2022-04-30,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-30,2022-04-30,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-29,2022-04-29,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-29,2022-04-29,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-29,2022-04-29,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-29,2022-04-29,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-29,2022-04-29,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-29,2022-04-29,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-29,2022-04-29,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-28,2022-04-28,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-28,2022-04-28,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-28,2022-04-28,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-28,2022-04-28,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-28,2022-04-28,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-28,2022-04-28,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-28,2022-04-28,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-27,2022-04-27,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-27,2022-04-27,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-27,2022-04-27,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-27,2022-04-27,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-27,2022-04-27,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-27,2022-04-27,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-27,2022-04-27,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-26,2022-04-26,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-26,2022-04-26,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-26,2022-04-26,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-26,2022-04-26,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-26,2022-04-26,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-26,2022-04-26,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-26,2022-04-26,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-25,2022-04-25,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-25,2022-04-25,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-25,2022-04-25,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-25,2022-04-25,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-25,2022-04-25,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-25,2022-04-25,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-25,2022-04-25,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-24,2022-04-24,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-24,2022-04-24,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-24,2022-04-24,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-24,2022-04-24,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-24,2022-04-24,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-24,2022-04-24,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-24,2022-04-24,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-23,2022-04-23,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-23,2022-04-23,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-23,2022-04-23,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-23,2022-04-23,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-23,2022-04-23,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-23,2022-04-23,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-23,2022-04-23,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-22,2022-04-22,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-22,2022-04-22,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-22,2022-04-22,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-22,2022-04-22,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-22,2022-04-22,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-22,2022-04-22,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-22,2022-04-22,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-21,2022-04-21,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-21,2022-04-21,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-21,2022-04-21,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-21,2022-04-21,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-21,2022-04-21,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-21,2022-04-21,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-21,2022-04-21,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-20,2022-04-20,Nadine_Negro,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-20,2022-04-20,Noelle_Vino,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-20,2022-04-20,Julie_Serpent_Red,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-20,2022-04-20,Julie_Serpent_Nude,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-20,2022-04-20,Julie_Dark,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-20,2022-04-20,Julie_Rose_Gold,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
2022-04-20,2022-04-20,Julie_Cafe,not_delivering,"Ejecutiva(C, C+)",0,ABSOLUTE_OCPM,100,Daily,0,"7-day click or 1-day view",,,0,0,,-,0,0,2022-05-10,0,,,,0,0
